,name,kana,romanized
0,山名,やまな,yamana
1,橋本,はしもと,hashimoto
2,末田,すえだ,sueda
3,森山,もりやま,moriyama
4,奈須,なす,nasu
5,藤井,ふじい,fujii
6,山川,やまかわ,yamakawa
7,山田,やまだ,yamada
8,三浦,みうら,miura
9,清水,しみず,shimizu
10,吉岡,よしおか,yoshioka
11,山崎,やまざき,yamazaki
12,岩瀬,いわせ,iwase
13,安田,やすだ,yasuda
14,高橋,たかはし,takahashi
15,宮崎,みやざき,miyazaki
16,畑山,はたやま,hatayama
17,島田,しまだ,shimada
18,木野,きの,kino
19,大西,おおにし,oonishi
20,相原,あいはら,aihara
21,平井,ひらい,hirai
22,冨永,とみなが,tominaga
23,福島,ふくしま,fukushima
24,西田,にしだ,nishida
25,縄田,なわた,nawata
26,稲毛,いなげ,inage
27,太田,おおた,oota
28,竹下,たけした,takeshita
29,栗原,くりはら,kurihara
30,豊田,とよだ,toyoda
31,小山,こやま,koyama
32,坂本,さかもと,sakamoto
33,青木,あおき,aoki
34,小倉,おぐら,ogura
35,西山,にしやま,nishiyama
36,近藤,こんどう,kondou
37,西,にし,nishi
38,前野,まえの,maeno
39,前田,まえだ,maeda
40,井上,いのうえ,inoue
41,中山,なかやま,nakayama
42,渡邉,わたなべ,watanabe
43,犬塚,いぬづか,inuzuka
44,藤川,ふじかわ,fujikawa
45,野呂,のろ,noro
46,藤木,ふじき,fujiki
47,松本,まつもと,matsumoto
48,林,はやし,hayashi
49,斉藤,さいとう,saitou
50,小嶋,こじま,kojima
51,高柳,たかやなぎ,takayanagi
52,櫻井,さくらい,sakurai
53,三宅,みやけ,miyake
54,新井,あらい,arai
55,古田,ふるた,furuta
56,山下,やました,yamashita
57,栗山,くりやま,kuriyama
58,丸田,まるた,maruta
59,坂元,さかもと,sakamoto
60,窪田,くぼた,kubota
61,田中,たなか,tanaka
62,後藤,ごとう,gotou
63,狩野,かの,kano
64,本城,ほんじょう,honjou
65,古井,ふるい,furui
66,丹澤,たんざわ,tanzawa
67,杉井,すぎい,sugii
68,森,もり,mori
69,北川,きたがわ,kitagawa
70,木原,きはら,kihara
